behavior_id,op,scalar_en,mask_class,chunk_class,classification,status_clear_cycles,lock_finish_cycles,extra_vfu_accepts,extra_writes,tail_reads,stuck,evidence_id
rtl_vmv_s_full_c1,vmv,1,full,1,RTL_TOP_DUPLICATE_ACTIVITY,8,12,6,6,0,0,F_special_vmv_scalar_c1_full
rtl_vmv_s_partial_c1,vmv,1,partial,1,RTL_TOP_DUPLICATE_ACTIVITY,8,12,6,6,0,0,F_special_vmv_scalar_c1_full
rtl_vmv_s_zero_c1,vmv,1,zero,1,RTL_TOP_DUPLICATE_ACTIVITY,8,12,7,0,2,0,F_zero_vmv_scalar_c1
rtl_vmv_s_full_c2,vmv,1,full,2,RTL_TOP_DUPLICATE_ACTIVITY,9,13,6,6,0,0,F_special_vmv_scalar_c2_full
rtl_vmv_s_partial_c2,vmv,1,partial,2,RTL_TOP_DUPLICATE_ACTIVITY,9,13,6,6,0,0,F_partial_vmv_scalar_c2
rtl_vmv_s_zero_c2,vmv,1,zero,2,RTL_TOP_DUPLICATE_ACTIVITY,9,13,7,0,2,0,F_zero_vmv_scalar_c2
rtl_vmv_s_full_c4,vmv,1,full,4,RTL_TOP_DUPLICATE_ACTIVITY,11,15,6,6,0,0,F_special_vmv_scalar_c4_full
rtl_vmv_s_partial_c4,vmv,1,partial,4,RTL_TOP_DUPLICATE_ACTIVITY,11,15,6,6,0,0,F_special_vmv_scalar_c4_full
rtl_vmv_s_zero_c4,vmv,1,zero,4,RTL_TOP_DUPLICATE_ACTIVITY,11,15,7,0,2,0,F_zero_vmv_scalar_c4
rtl_vmv_s_full_c8,vmv,1,full,8,RTL_TOP_DUPLICATE_ACTIVITY,15,19,6,6,0,0,F_special_vmv_scalar_c8_full
rtl_vmv_s_partial_c8,vmv,1,partial,8,RTL_TOP_DUPLICATE_ACTIVITY,15,19,6,6,0,0,F_partial_vmv_scalar_c8
rtl_vmv_s_zero_c8,vmv,1,zero,8,RTL_TOP_DUPLICATE_ACTIVITY,15,19,7,0,2,0,F_zero_vmv_scalar_c8
rtl_vslidedown_s_full_c2,vslidedown,1,full,2,RTL_TOP_DUPLICATE_ACTIVITY,13,17,1,0,2,0,F_special_vslidedown_c2_full
rtl_vslidedown_s_partial_c2,vslidedown,1,partial,2,RTL_TOP_DUPLICATE_ACTIVITY,13,17,1,0,2,0,F_partial_vslidedown_c2
rtl_vslidedown_s_zero_c2,vslidedown,1,zero,2,RTL_TOP_DUPLICATE_ACTIVITY,13,17,1,0,2,0,F_zero_vslidedown_c2
rtl_vslidedown_s_full_c4,vslidedown,1,full,4,RTL_TOP_DUPLICATE_ACTIVITY,15,19,1,0,2,0,F_special_vslidedown_c4_full
rtl_vslidedown_s_partial_c4,vslidedown,1,partial,4,RTL_TOP_DUPLICATE_ACTIVITY,15,19,1,0,2,0,F_special_vslidedown_c4_full
rtl_vslidedown_s_zero_c4,vslidedown,1,zero,4,RTL_TOP_DUPLICATE_ACTIVITY,15,19,1,0,2,0,F_zero_vslidedown_c4
rtl_vslidedown_s_full_c8,vslidedown,1,full,8,RTL_TOP_DUPLICATE_ACTIVITY,24,28,1,0,2,0,F_special_vslidedown_c8_full
rtl_vslidedown_s_partial_c8,vslidedown,1,partial,8,RTL_TOP_DUPLICATE_ACTIVITY,24,28,1,0,2,0,F_partial_vslidedown_c8
rtl_vslidedown_s_zero_c8,vslidedown,1,zero,8,RTL_TOP_DUPLICATE_ACTIVITY,19,23,1,0,2,0,F_zero_vslidedown_c8
rtl_illegal_unknown,unknown_start_bit,0,full,1,ILLEGAL_COMPLETE,14,18,0,0,0,0,A_illegal_unknown
rtl_illegal_vcompress,vcompress,0,full,1,ILLEGAL_COMPLETE,14,18,0,0,0,0,A_illegal_vcompress
rtl_illegal_vmac,vmac,0,full,1,ILLEGAL_COMPLETE,14,18,0,0,0,0,A_illegal_vmac
rtl_illegal_vmsub,vmsub,0,full,1,ILLEGAL_COMPLETE,14,18,0,0,0,0,A_illegal_vmsub
rtl_illegal_vmulh,vmulh,0,full,1,ILLEGAL_COMPLETE,14,18,0,0,0,0,A_illegal_vmulh
rtl_illegal_vmulhsu,vmulhsu,0,full,1,ILLEGAL_COMPLETE,14,18,0,0,0,0,A_illegal_vmulhsu
rtl_illegal_vwredsum,vwredsum,0,full,1,ILLEGAL_COMPLETE,14,18,0,0,0,0,A_illegal_vwredsum
