profile_id,op,mode,scalar_en,mask_class,source_set,chunk_class,vfu_latency,vfu_ii,write_policy,fifo_depth,max_outstanding_reads,vsu_latency,lock_start_delay,finish_drain_cycles,operation_cycles,timing_source,evidence_id
rtl_vadd_c1,vadd,*,0,full,src1+src2,1,1,1,per_chunk,4,4,1,1,4,18,rtl_sim,yinglong_veu_timing_fixed2_001_vadd_vlen256
rtl_vadd_c2,vadd,*,0,full,src1+src2,2,1,1,per_chunk,4,4,1,1,4,20,rtl_sim,yinglong_veu_timing_fixed2_003_vadd_vlen512
rtl_vadd_c4,vadd,*,0,full,src1+src2,4,1,1,per_chunk,4,4,1,1,4,24,rtl_sim,yinglong_veu_timing_fixed2_004_vadd_vlen1024
rtl_vadd_c8,vadd,*,0,full,src1+src2,8,1,1,per_chunk,4,4,1,1,4,37,rtl_sim,yinglong_veu_timing_fixed2_005_vadd_vlen2048
rtl_vadd_partial_c1,vadd,*,0,partial,src1+src2,1,1,1,per_chunk,4,4,1,1,4,18,rtl_sim,yinglong_veu_timing_coverage_005_vadd_vlen256
rtl_vadd_scalar_c1,vadd,*,1,full,src2,1,1,1,per_chunk,4,4,1,1,4,17,rtl_sim,yinglong_veu_timing_fixed2_002_vadd_vlen256
rtl_vsub_c1,vsub,*,0,full,src1+src2,1,1,1,per_chunk,4,4,1,1,4,18,rtl_sim,yinglong_veu_timing_fixed2_006_vsub_vlen256
rtl_vsub_c8,vsub,*,0,full,src1+src2,8,1,1,per_chunk,4,4,1,1,4,37,rtl_sim,yinglong_veu_timing_fixed2_007_vsub_vlen2048
rtl_vmin_c1,vmin,*,0,full,src1+src2,1,2,1,per_chunk,4,4,1,1,4,19,rtl_sim,yinglong_veu_timing_fixed2_008_vmin_vlen256
rtl_vmin_c8,vmin,*,0,full,src1+src2,8,2,1,per_chunk,4,4,1,1,4,38,rtl_sim,yinglong_veu_timing_fixed2_009_vmin_vlen2048
rtl_vmax_c1,vmax,*,0,full,src1+src2,1,2,1,per_chunk,4,4,1,1,4,19,rtl_sim,yinglong_veu_timing_fixed2_012_vmax_vlen256
rtl_vmax_c8,vmax,*,0,full,src1+src2,8,2,1,per_chunk,4,4,1,1,4,38,rtl_sim,yinglong_veu_timing_fixed2_013_vmax_vlen2048
rtl_vand_c1,vand,*,0,full,src1+src2,1,1,1,per_chunk,4,4,1,1,4,18,rtl_sim,yinglong_veu_timing_fixed2_016_vand_vlen256
rtl_vand_c8,vand,*,0,full,src1+src2,8,1,1,per_chunk,4,4,1,1,4,37,rtl_sim,yinglong_veu_timing_fixed2_017_vand_vlen2048
rtl_vor_c1,vor,*,0,full,src1+src2,1,1,1,per_chunk,4,4,1,1,4,18,rtl_sim,yinglong_veu_timing_fixed2_018_vor_vlen256
rtl_vor_c8,vor,*,0,full,src1+src2,8,1,1,per_chunk,4,4,1,1,4,37,rtl_sim,yinglong_veu_timing_fixed2_019_vor_vlen2048
rtl_vxor_c1,vxor,*,0,full,src1+src2,1,1,1,per_chunk,4,4,1,1,4,18,rtl_sim,yinglong_veu_timing_fixed2_020_vxor_vlen256
rtl_vxor_c8,vxor,*,0,full,src1+src2,8,1,1,per_chunk,4,4,1,1,4,37,rtl_sim,yinglong_veu_timing_fixed2_021_vxor_vlen2048
rtl_vredsum_c1,vredsum,*,0,full,src1,1,1,1,final_only,4,4,1,1,4,17,rtl_sim,yinglong_veu_timing_fixed2_022_vredsum_vlen256
rtl_vredsum_c8,vredsum,*,0,full,src1,8,1,1,final_only,4,4,1,1,4,24,rtl_sim,yinglong_veu_timing_fixed2_023_vredsum_vlen2048
rtl_vmul_c1,vmul,*,0,full,src1+src2,1,3,1,per_chunk,4,4,1,1,4,20,rtl_sim,yinglong_veu_timing_fixed2_024_vmul_vlen256
rtl_vmul_c8,vmul,*,0,full,src1+src2,8,3,1,per_chunk,4,4,1,1,4,39,rtl_sim,yinglong_veu_timing_fixed2_025_vmul_vlen2048
rtl_vssrl_scalar_c1,vssrl,*,1,full,src2,1,1,1,per_chunk,4,4,1,1,4,17,rtl_sim,yinglong_veu_timing_fixed2_026_vssrl_vlen256
rtl_vssrl_scalar_c8,vssrl,*,1,full,src2,8,1,1,per_chunk,4,4,1,1,4,31,rtl_sim,yinglong_veu_timing_fixed2_027_vssrl_vlen2048
rtl_vssra_scalar_c1,vssra,*,1,full,src2,1,1,1,per_chunk,4,4,1,1,4,17,rtl_sim,yinglong_veu_timing_fixed2_028_vssra_vlen256
rtl_vssra_scalar_c8,vssra,*,1,full,src2,8,1,1,per_chunk,4,4,1,1,4,31,rtl_sim,yinglong_veu_timing_fixed2_029_vssra_vlen2048
